chart_id,slug,title,subtitle_describes_the_line,last_archive_before_migration
6531,homicide-rate-ihme-vs-who-mort-db,"Homicide rate, IHME vs. WHO Mortality Database",0,20260325-171315
6550,severe-food-insecurity-undernourishment,Share of the population defined as severely food insecure vs. undernourished,0,20260325-171315
6615,unemployment-rate-by-disability,Unemployment rate in people with vs. without disability,0,20260325-171315
6751,homicide-rate-by-sex,Homicide rate by sex of the victim,1,20260402-164039
6752,homicide-rate-who-vs-unodc,"Homicide rate, WHO vs. UNODC",0,20260402-164039
6913,annual-growth-income-consumption-poorest-vs-total-population,Annual growth of the income or consumption of the poorest 40% vs. the total population,0,20260402-163007
7311,share-of-young-women-vs-men-who-are-not-in-education-employment-or-training,"Share of young women vs. men who are not in education, employment or training",0,20260410-215714
7634,willingness-climate-action,People underestimate others' willingness to take climate action,0,20260325-171315
7663,alcohol-consumption-per-capita-men-women,Alcohol consumption per capita in men and women,0,20260402-163007
8869,agriculture-vs-non-agriculture-share-in-informal-employment,Share of workers in informal employment: agriculture vs. non-agriculture,0,20260325-171315
