slug,title,successor,archive
primary-energy-fossil-nuclear-renewables,"Direct primary energy consumption from fossil fuels, nuclear, and renewables",/grapher/primary-energy-from-fossil-nuclear-renewables,https://archive.ourworldindata.org/20260727-182932/grapher/primary-energy-fossil-nuclear-renewables.html
primary-energy-hydro,Primary energy consumption from hydropower,/grapher/energy-mix?source=hydro&metric=total,https://archive.ourworldindata.org/20260727-182932/grapher/primary-energy-hydro.html
primary-energy-nuclear,Primary energy consumption from nuclear,/grapher/energy-mix?source=nuclear&metric=total,https://archive.ourworldindata.org/20260727-182932/grapher/primary-energy-nuclear.html
primary-energy-renewables,Primary energy consumption from renewables,/grapher/energy-mix?source=renewables&metric=total,https://archive.ourworldindata.org/20260727-182932/grapher/primary-energy-renewables.html
primary-energy-share-nuclear-renewables,Share of primary energy consumption that comes from nuclear and renewables,/grapher/share-of-primary-energy-from-nuclear-renewables,https://archive.ourworldindata.org/20260727-182932/grapher/primary-energy-share-nuclear-renewables.html
primary-energy-source-bar,Primary energy consumption by source,/grapher/primary-energy-by-source-bar,https://archive.ourworldindata.org/20260727-165533/grapher/primary-energy-source-bar.html
primary-energy-wind,Primary energy consumption from wind,/grapher/energy-mix?source=wind&metric=total,https://archive.ourworldindata.org/20260727-182932/grapher/primary-energy-wind.html
primary-sub-energy-source,Primary energy consumption by source,/grapher/primary-energy-by-source,https://archive.ourworldindata.org/20260727-165533/grapher/primary-sub-energy-source.html
renewable-share-energy,Share of primary energy consumption from renewable sources,/grapher/energy-mix?source=renewables&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/renewable-share-energy.html
share-energy-source-sub,Share of energy consumption by source,/grapher/share-of-primary-energy-by-source,https://archive.ourworldindata.org/20260727-182932/grapher/share-energy-source-sub.html
share-of-low-carbon-energy-vs-gdp,Share of primary energy that is low-carbon vs. GDP per capita,/grapher/share-low-carbon-energy-vs-gdp-tes,https://archive.ourworldindata.org/20260729-153957/grapher/share-of-low-carbon-energy-vs-gdp.html
share-of-primary-energy-consumption-by-source,Share of direct primary energy consumption by source,/grapher/share-of-primary-energy-by-source,https://archive.ourworldindata.org/20260727-182932/grapher/share-of-primary-energy-consumption-by-source.html
share-of-primary-energy-from-solar-and-wind,Share of primary energy consumption from solar and wind,/grapher/energy-mix?source=solar_and_wind&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/share-of-primary-energy-from-solar-and-wind.html
share-with-access-to-electricity-vs-per-capita-energy-consumption,Share with access to electricity vs. per capita energy consumption,/grapher/electricity-access-vs-per-capita-energy-tes,https://archive.ourworldindata.org/20260729-153957/grapher/share-with-access-to-electricity-vs-per-capita-energy-consumption.html
solar-share-energy,Share of primary energy consumption from solar,/grapher/energy-mix?source=solar&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/solar-share-energy.html
sub-energy-fossil-renewables-nuclear,"Primary energy consumption from fossil fuels, nuclear and renewables",/grapher/primary-energy-from-fossil-nuclear-renewables,https://archive.ourworldindata.org/20260727-182932/grapher/sub-energy-fossil-renewables-nuclear.html
wind-share-energy,Share of primary energy consumption from wind,/grapher/energy-mix?source=wind&metric=share,https://archive.ourworldindata.org/20260727-182932/grapher/wind-share-energy.html
