country,owid_country
St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovak Republic,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Swaziland,Eswatini
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
Timor-Leste,Timor
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Vietnam,Vietnam
Palestine,Palestine
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
World,World
Africa,Africa
Asia,Asia
Europe,Europe
North America,North America
Oceania,Oceania
South America,South America
American Samoa,American Samoa
Antigua & Barb.,Antigua and Barbuda
Bermuda,Bermuda
Bsnia.&Hrzgvna.,Bosnia and Herzegovina
British Indian Ocean Territory,British Indian Ocean Territory
Br.Virgin Is.,British Virgin Islands
Cayman Islands,Cayman Islands
Central African Rep.,Central African Republic
Christmas Isl.,Christmas Island
Cocos (Keeling) Isl.,Cocos Islands
Mayotte,Mayotte
Congo,Congo
"Zaire/ Congo , Dem. Rep.",Democratic Republic of Congo
Cook Islands,Cook Islands
Czech Rep.,Czechia
Dominican Rep.,Dominican Republic
Eq. Guinea,Equatorial Guinea
Faeroe Islands,Faeroe Islands
Falkland Is.,Falkland Islands
French Guiana,French Guiana
French Polynesia,French Polynesia
Occupied Palestinian Terr.,Palestine
Gibraltar,Gibraltar
Greenland,Greenland
Guadaloupe,Guadeloupe
Guam,Guam
Heard and McDonald Isl.,Heard Island and McDonald Islands
"China, Hong Kong SAR",Hong Kong
"Iran, Isl.Rep.of",Iran
"Dem.Rep.,Korea",North Korea
Rep. of Korea,South Korea
Kyrgyzstan,Kyrgyzstan
Libyan A.J.,Libya
"China, Macao SAR",Macao
Martinique,Martinique
Rep. of Moldova,Moldova
Montserrat,Montserrat
Neth.Antilles,Netherlands Antilles
Aruba,Aruba
New Caledonia,New Caledonia
Niue,Niue
Norfolk Isl.,Norfolk Island
Northern Mariana,Northern Mariana Islands
Micronesia (Fed. States of),Micronesia (country)
Pitcairn,Pitcairn
East Timor,Timor
Puerto Rico,Puerto Rico
Reunion,Reunion
Russian Fed.,Russia
St. Helena,Saint Helena
St.Kitts & Nevis,Saint Kitts and Nevis
Anguilla,Anguilla
Saint Lucia,Saint Lucia
St.Pierre & Miq.,Saint Pierre and Miquelon
St.Vin. & Gren.,Saint Vincent and the Grenadines
Sao Tome & Pr.,Sao Tome and Principe
Slovakia,Slovakia
Viet Nam,Vietnam
Western Sahara,Western Sahara
Svalbard & Jan Mayen Isl.,Svalbard and Jan Mayen
Syrian Arab Rep.,Syria
Tokelau,Tokelau
Trin. & Tobago,Trinidad and Tobago
U.Arab Emirates,United Arab Emirates
Turks & Caicos,Turks and Caicos Islands
TFYR Macedonia,North Macedonia
U.R. Tanzania,Tanzania
U.S. Virgin Is.,United States Virgin Islands
Wallis & Futuna,Wallis and Futuna
Serbia and Montenegro,Serbia
