participant,conflict_name,years,participant_correction,participant_new
Pakistan,Indo-Pakistani War,1971-1971,,Pakistan
Pakistan,Pakistani Rebellion,1972-1987,,Pakistan
Palestine,Arab-Israeli War,1948-1949,,Palestine
Panama,Panamarian Revolution,1903-1903,,Panama
Paraguay,Chaco War,1928-1935,,Paraguay
Paraguay,Lopez War,1864-1870,,Paraguay
Peru,War of the Pacfic,1879-1884,,Peru
Peru,Peruvian-Spanish War,1864-1866,,Peru
Peru,Peru-Bolivia Confed,1836-1839,,Peru
Peru,Peruvian Rebellion,1980-1987,,Peru
Peru,Peruvian War,1827-1829,,Peru
Peru,Peruvian-Bolivian War,1841-1841,,Peru
Philippines,New Huk War,1964-1974,,Philippines
Philippines,Philippine Rebellion,1972-1987,,Philippines
Philippines,Huk Rebellion,1946-1954,,Philippines
Philippines,Philippine Rebellion,1896-1905,,Philippines
Pirates,Pirate War,1837-1860,,Pirates
PLO,Arab-Israeli War,1948-1949,,PLO
PLO,PLO Revolt,1970-1971,,PLO
PLO,Lebanon,1973-1973,,PLO
PLO,Lebanese Civil War,1969-1969,,PLO
Poland,Polish Revolution,1863-1864,,Poland
Poland,Polish Revolt,1980-1987,,Poland
Poland,World War II,1939-1945,,Poland
Poland,Polish Revolution,1794-1795,,Poland
Poland,Polish Revolt,1970-1970,,Poland
Poland,Russo-Polish War,1919-1920,,Poland
Pope,Papal States,1867-1870,,Pope
Population,Cambodian Terror,1975-1978,,Population
Population,Uganda Terror,1971-1987,,Population
Population,Stalin Terror,1927-1940,,Population
Population,Communist Terror,1950-1958,,Population
Portugal,Mozambique Rebellion,1980-1987,,Portugal
Portugal,Portuguese Civil War,1820-1834,,Portugal
Portugal,Carlist War,1834-1839,,Portugal
Portugal,Angolan War,1961-1974,,Portugal
Portugal,Mozambique War,1962-1974,,Portugal
Portugal,Guinea-Bissau War,1962-1974,,Portugal
Portugal,Angolan War,1907-1907,,Portugal
Portugal,Miguelite War,1828-1834,,Portugal
Portugal,Angolan Revolt,1902-1902,,Portugal
Portugal,World War I,1914-1918,,Portugal
Prussia,Polish Revolution,1794-1795,,Prussia
Punjab,Punjab War,1810-1820,,Punjab
Rebels,Chad War,1965-1987,,Rebels
Rebels,Congo War,1949-1967,,Rebels
Rebels,Thai Rebellion,1965-1987,,Rebels
Rebels,Yemen Rebellion,1968-1969,,Rebels
Rebels,Japanese Civil War,1863-1868,,Rebels
Rebels,Ogaden War,1964-1987,,Rebels
Rebels,Zimbabwe Rebellion,1980-1987,,Rebels
Rebels,Colombian Revolution,1948-1958,,Rebels
Rebels,Madagascar Revolution,1863-1863,,Rebels
Rebels,Burmese Revolution,1948-1987,,Rebels
Rebels,Red Sea War,1865-1875,,Rebels
Rebels,Iran revolt,1945-1946,,Rebels
Rebels,PLO Terror,1983-1987,,Rebels
Rebels,Mozambique War,1975-1987,,Rebels
Rebels,Huk Rebellion,1946-1954,,Rebels
Rebels,C Amer Confederation,1839-1840,,Rebels
Rebels,Communist Revolt,1965-1965,,Rebels
Rebels,Abyssinian Civil War,1854-1856,,Rebels
Rebels,Spanish Rebellion,1840-1843,,Rebels
Rebels,Tukulor Civil Wars,1864-1890,,Rebels
Rebels,Syrian Revolt,1961-1966,,Rebels
Rebels,Yemen War,1961-1970,,Rebels
Rebels,Nepal Civil War,1961-1961,,Rebels
Rebels,Malaysian Revolution,1947-1960,,Rebels
Rebels,German Revolt,1847-1848,,Rebels
Rebels,Malaysian Rebellion,1968-1987,,Rebels
Rebels,Haiti Revolution,1791-1822,,Rebels
Rebels,Algerian Revolt,1962-1965,,Rebels
Rebels,Thai Rebellion,1949-1951,,Rebels
Rebels,Zulu Civil War,1856-1856,,Rebels
Rebels,Nepal Rebellion,1953-1953,,Rebels
Rebels,Angolan War,1975-1987,,Rebels
Rebels,Sahara War,1975-1987,,Rebels
Rebels,Dhofar revolt,1968-1974,,Rebels
Rebels,Dahomey Revolt,1963-1972,,Rebels
Rebels,Algerian War,1954-1962,,Rebels
Rebels,Dhofar Rebellion,1963-1987,,Rebels
Rebels,Colombian Civil War,1860-1861,,Rebels
Rebels,Sudan Revolt,1955-1972,,Rebels
Rebels,Czech Invasion,1968-1968,,Rebels
Rebels,Taiping Rebellion,1850-1881,,Rebels
Rebels,Cuban revolution,1956-1959,,Rebels
Rebels,Mexican Civil War,1857-1877,,Rebels
Rebels,Polish Revolt,1956-1967,,Rebels
Rebels,Santo Domingo,1844-1844,,Rebels
Rebels,Cultural revolution,1966-1977,,Rebels
Rebels,Moroccan Rebellion,1953-1955,,Rebels
Rebels,S. Africa Rebellion,1975-1987,,Rebels
Rebels,Laotian Revolution,1953-1987,,Rebels
Rebels,Afghan Civil War,1850-1855,,Rebels
Rebels,Afghanistan Civil War,1863-1879,,Rebels
Rebels,Nicaragua Insurgency,1981-1987,,Rebels
Rebels,Guatemalan Rebellion,1960-1987,,Rebels
Rebels,Indonesian Civil War,1950-1961,,Rebels
Rebels,Cameroon Rebellion,1962-1971,,Rebels
Rebels,Greek Revolution,1862-1862,,Rebels
Rebels,Spanish Revolution,1854-1876,,Rebels
Rebels,New Huk War,1964-1974,,Rebels
Rebels,Lebanese Revolution,1958-1958,,Rebels
Rebels,Ethiopian War,1974-1987,,Rebels
Rebels,Sierra Leone,1967-1971,,Rebels
Rebels,Colombian Civil War,1958-1987,,Rebels
Rebels,Niger Civil War,1961-1974,,Rebels
Rebels,Boer Civil War,1862-1864,,Rebels
Rebels,East German Revolt,1953-1953,,Rebels
Rebels,US Civil War,1861-1865,,Rebels
Rebels,Libyan Revolt,1949-1951,,Rebels
Rebels,Syrian Revolt,1975-1982,,Rebels
Rebels,Boxer Rebellion,1900-1901,,Rebels
Rebels,Convict Rebellion,1804-1808,,Rebels
Rebels,Honduran Civil War,1909-1911,,Rebels
Rebels,Naval Rebellion,1893-1895,,Rebels
Rebels,El Salvador Civil War,1979-1987,,Rebels
Rebels,Peruvian Rebellion,1980-1987,,Rebels
Rebels,Mexican Civil War,1911-1914,,Rebels
Rebels,Chinese Revolution,1911-1948,,Rebels
rebels,Polish Revolt,1970-1970,,rebels
Rebels,Spanish Civil War,1936-1939,,Rebels
Rebels,Spanish Rebellion,1807-1814,,Rebels
Rebels,Abyssinian Civil War,1889-1899,,Rebels
Rebels,Afghan War,1978-1987,,Rebels
Rebels,Mexico Revolt,1927-1929,,Rebels
Rebels,Arab Revolt,1888-1890,,Rebels
Rebels,Cambodian War,1978-1987,,Rebels
Rebels,Zaire Rebellion,1978-1987,,Rebels
Rebels,Cambodian Rebellion,1812-1812,,Rebels
Rebels,Honduran Rebellion,1980-1987,,Rebels
Rebels,Riel Rebellion,1885-1885,,Rebels
Rebels,Wahhabi War,1811-1818,,Rebels
Rebels,Miguelite War,1828-1834,,Rebels
Rebels,Cambodian Civil War,1970-1975,,Rebels
Rebels,Ulster Rebellion,1969-1987,,Rebels
Rebels,Korean Civil War,1882-1900,,Rebels
Rebels,Russian Civil War,1917-1921,,Rebels
Rebels,Mexican Rebellion,1810-1823,,Rebels
Rebels,Irish Civil War,1916-1921,,Rebels
Rebels,Serbian Revolution,1883-1883,,Rebels
Rebels,Arakan Revolt,1811-1815,,Rebels
Rebels,Burmese Rebellion,1945-1946,,Rebels
rebels,Arab revolt,1936-1939,,rebels
Rebels,Iranian Revolution,1979-1987,,Rebels
Rebels,Philippine Rebellion,1972-1987,,Rebels
Rebels,Nigerian War,1906-1906,,Rebels
Rebels,Greek Civil War,1944-1949,,Rebels
Rebels,Cambodian Revolt,1866-1867,,Rebels
Rebels,Burmese Civil War,1838-1845,,Rebels
Rebels,Ugandan Rebellion,1979-1987,,Rebels
Rebels,Zimbabwe Rebellion,1971-1980,,Rebels
Rebels,Somalia War,1899-1920,,Rebels
Rebels,Abyssinian Civil War,1868-1872,,Rebels
Rebels,Afghan Rebellion,1818-1818,,Rebels
Rebels,Riel Rebellion,1869-1870,,Rebels
Rebels,Angolan War,1907-1907,,Rebels
Rebels,Franco-Spanish War,1821-1823,,Rebels
Rebels,Moroccan Rebellion,1971-1973,,Rebels
Rebels,Zulu Civil War,1883-1884,,Rebels
Rebels,Sudanese Rebellion,1969-1971,,Rebels
Rebels,Iranian Revolt,1905-1921,,Rebels
Rebels,Sudanese Revolt,1983-1987,,Rebels
Rebels,French Congo,1905-1905,,Rebels
Rebels,Malakand War,1896-1897,,Rebels
Rebels,Egyptian Rebellion,1805-1811,,Rebels
Rebels,Pakistani Rebellion,1972-1987,,Rebels
Republicans,Austrian Civil War,1848-1849,,Republicans
Republicans,Portuguese Civil War,1820-1834,,Republicans
Rhodesia,Zimbabwe Rebellion,1971-1980,,Rhodesia
Romania,Hungarian War,1919-1920,,Romania
Romania,Balkan War II,1913-1913,,Romania
Romania,World War I,1914-1918,,Romania
Romania,World War II,1939-1945,,Romania
Russia,Hungarian Revolt,1956-1956,,Russia
Russia,Boxer Rebellion,1900-1901,,Russia
Russia,Conquest of Merv,1884-1885,,Russia
Russia,Greek Revolt,1821-1832,,Russia
Russia,Polish Revolt,1956-1967,,Russia
Russia,Syr Darya War,1850-1854,,Russia
Russia,Polish Revolution,1794-1795,,Russia
Russia,Czech Invasion,1968-1968,,Russia
Russia,Austrian Civil War,1848-1849,,Russia
Russia,Ottoman War,1787-1792,,Russia
Russia,Russo-Japanese War,1904-1905,,Russia
Russia,French Revolution,1792-1802,,Russia
Russia,Russo-Persian War,1825-1828,,Russia
Russia,Crimean War,1853-1856,,Russia
Russia,Iranian Revolt,1905-1921,,Russia
Russia,Russo-Swedish War,1788-1790,,Russia
Russia,World War II,1939-1945,,Russia
Russia,Russian Civil War,1917-1921,,Russia
Russia,Russo-Turkish War II,1828-1829,,Russia
Russia,Spanish Civil War,1936-1939,,Russia
Russia,Afghan War,1978-1987,,Russia
Russia,East German Revolt,1953-1953,,Russia
Russia,Russo-Polish War,1919-1920,,Russia
Russia,Russo-Turkish War I,1806-1812,,Russia
Russia,Russo-Japanese War,1938-1939,,Russia
Russia,Russo-Finnish War,1939-1940,,Russia
Russia,Russo-Swedish War II,1808-1809,,Russia
Russia,Iran revolt,1945-1946,,Russia
Russia,Russo-Turkish War II,1876-1878,,Russia
Russia,Korean Civil War,1882-1900,,Russia
Russia,Polish Revolution,1863-1864,,Russia
Russia,World War I,1914-1918,,Russia
Russia,Polish Revolt,1980-1987,,Russia
Russia,Napoleonic War,1803-1815,,Russia
Russia,Khivan War,1839-1847,,Russia
Russia,Russo-Persian War,1804-1813,,Russia
Russia,Syrian Revolt,1975-1982,,Russia
Russia,Stalin Terror,1927-1940,,Russia
S Africa,Namibian Revolution,1966-1987,,S Africa
S Korea,Vietnam War,1956-1975,,S Korea
S Vietnam,Vietnam War,1956-1975,,S Vietnam
S. Africa,Angolan War,1975-1987,,S. Africa
S. Africa,S. Africa Rebellion,1975-1987,,S. Africa
S. Korea,Korean War,1950-1953,,S. Korea
S. Yemen,Dhofar Rebellion,1963-1987,,S. Yemen
S. Yemen,Yemen War,1972-1987,,S. Yemen
S. Yemen,Yemen Rebellion,1968-1969,,S. Yemen
S. Yemen,Dhofar revolt,1968-1974,,S. Yemen
Samurai,Satsuma Rebellion,1877-1877,,Samurai
San Martin,San Martin's War,1814-1824,,San Martin
Sardinia,Crimean War,1853-1856,,Sardinia
Saudi Arabia,Buraimi War,1952-1955,,Saudi Arabia
Saudi Arabia,Arabian Civil War,1900-1925,,Saudi Arabia
Seminole,Seminole War,1835-1843,,Seminole
Seminole,Seminole War,1818-1818,,Seminole
Senegal,Tukulor War,1854-1864,,Senegal
Senegal,Tukulor Civil Wars,1864-1890,,Senegal
Senegal,Tukulor War,1810-1810,,Senegal
Serbia,Serbian Revolt,1804-1817,,Serbia
Serbia,Serbo-Turkish War,1815-1817,,Serbia
Serbia,Serbo-Bulgarian War,1885-1886,,Serbia
Serbia,Serbian War,1877-1878,,Serbia
Serbia,Russo-Turkish War II,1876-1878,,Serbia
Serbia,Serbian Revolution,1883-1883,,Serbia
Serbia,Balkan War II,1913-1913,,Serbia
Shawnees,Tecumseh War,1811-1811,,Shawnees
Shoa,Shoa War,1878-1882,,Shoa
Sierra Leone,Sierra Leone,1967-1971,,Sierra Leone
Sikhs,Punjab War,1799-1802,,Sikhs
Sikhs,Sikh War,1848-1849,,Sikhs
Sikhs,Sikh War,1845-1846,,Sikhs
Sinhalese,Sri Lankan Rebellion,1983-1987,,Sinhalese
Slavers,Slave Wars,1885-1898,,Slavers
Somalia,Ogaden War,1964-1987,,Somalia
South Africa,World War I,1914-1918,,South Africa
South Africa,World War II,1939-1945,,South Africa
Spain,Spanish Rebellion,1807-1814,,Spain
Spain,Spanish Revolution,1854-1876,,Spain
Spain,Spanish-American War,1898-1898,,Spain
Spain,Napoleonic War,1803-1815,,Spain
Spain,Chilean Spanish,1865-1866,,Spain
Spain,Pirate War,1837-1860,,Spain
Spain,Ten Years War,1868-1878,,Spain
Spain,Mexican-Spanish War,1829-1829,,Spain
Spain,Riff War,1912-1926,,Spain
Spain,French Revolution,1792-1802,,Spain
Spain,Ifni Revolt,1957-1958,,Spain
Spain,Peruvian-Spanish War,1864-1866,,Spain
Spain,San Martin's War,1814-1824,,Spain
Spain,Franco-Spanish War,1821-1823,,Spain
Spain,Spanish Civil War,1936-1939,,Spain
Spain,Spanish Rebellion,1840-1843,,Spain
Spain,Philippine Rebellion,1896-1905,,Spain
Spain,Miguelite War,1828-1834,,Spain
Spain,Bolivar's Wars,1811-1824,,Spain
Spain,Carlist War,1834-1839,,Spain
Spain,Riff War,1893-1893,,Spain
Spain,Mexican Rebellion,1810-1823,,Spain
Spain,Moroccan War,1859-1860,,Spain
Spain,Cuban revolution,1895-1898,,Spain
Sri Lanka,Sri Lanka War,1795-1796,,Sri Lanka
Sri Lanka,Sri Lanka War,1956-1961,,Sri Lanka
Sudan,Sudanese Rebellion,1969-1971,,Sudan
Sudan,Sudanese Revolt,1983-1987,,Sudan
Sudan,Mahdist War,1881-1899,,Sudan
Sudan,Sudan War,1871-1875,,Sudan
Sudan,Sudan Conquest,1820-1839,,Sudan
Sudan,Sudan Revolt,1955-1972,,Sudan
SWAPO,Namibian Revolution,1966-1987,,SWAPO
Sweden,Russo-Swedish War,1788-1790,,Sweden
Sweden,Russo-Swedish War II,1808-1809,,Sweden
Sweden,First Schleswig War,1848-1850,,Sweden
Syria,Syrian-Jordanian War,1970-1970,,Syria
Syria,Lebanese Civil War,1975-1987,,Syria
Syria,Syrian Revolt,1975-1982,,Syria
Syria,Arab-Israeli War,1948-1949,,Syria
Syria,Syrian Revolt,1953-1954,,Syria
Syria,Yom Kippur War,1973-1973,,Syria
Syria,Syrian Revolt,1961-1966,,Syria
Syria,Six Day War,1967-1967,,Syria
Syria,Syrian War,1957-1957,,Syria
Taiwan,Formosa War,1874-1874,,Taiwan
Taiwan,Sino-Taiwanese War,1948-1965,,Taiwan
Tamils,Sri Lankan Rebellion,1983-1987,,Tamils
Tamils,Sri Lanka War,1956-1961,,Tamils
Texas,Texas War,1835-1836,,Texas
Thailand,Vietnam War,1841-1845,,Thailand
Thailand,World War II,1939-1945,,Thailand
Thailand,Laos War,1826-1829,,Thailand
Thailand,Cambodian Rebellion,1812-1812,,Thailand
Thailand,Thai Rebellion,1949-1951,,Thailand
Thailand,Thai Rebellion,1965-1987,,Thailand
Thailand,Thailand War,1964-1987,,Thailand
Thailand,Kedah War,1821-1821,,Thailand
Thailand,Cambodian War I,1831-1834,,Thailand
Tibet,Tibet War,1959-1974,,Tibet
Tibet,Tibet War,1956-1959,,Tibet
Timor,Timor War,1975-1987,,Timor
Tribes,Cameroon Revolt,1905-1907,,Tribes
Tribes,Amazon War,1818-1858,,Tribes
Tribes,Sahara War,1900-1900,,Tribes
Tribes,Hottentot Uprising,1903-1908,,Tribes
Tribes,Wadai War,1909-1911,,Tribes
Tripoli,Tripoli War,1801-1805,,Tripoli
Tuareg,Tuareg War,1893-1893,,Tuareg
Tunisia,Tunisian Revolt,1957-1962,,Tunisia
Tunisia,Tunis War,1881-1881,,Tunisia
Tupamaros,Tupamaros Terror,1967-1973,,Tupamaros
Turkestan,Syr Darya War,1850-1854,,Turkestan
Turkey,Russo-Turkish War I,1806-1812,,Turkey
Turkey,Egyptian Rebellion,1805-1811,,Turkey
Turkey,Turko-Persian War,1821-1823,,Turkey
Turkey,Serbian Revolt,1804-1817,,Turkey
Turkey,Serbian War,1877-1878,,Turkey
Turkey,Russo-Turkish War II,1876-1878,,Turkey
Turkey,Kurdistan War,1979-1987,,Turkey
Turkey,Egyptian War,1839-1841,,Turkey
Turkey,Serbo-Turkish War,1815-1817,,Turkey
Turkey,Greek Revolt,1821-1832,,Turkey
Turkey,Cretan Insurrection,1866-1868,,Turkey
Turkey,Egyptian War,1832-1833,,Turkey
Turkey,Herzegovina War,1860-1862,,Turkey
Turkey,Crimean War,1853-1856,,Turkey
Turkey,Montenegro War,1852-1853,,Turkey
Turkey,Russo-Turkish War II,1828-1829,,Turkey
Turkey,Cypriot War,1974-1974,,Turkey
Turkey,Ottoman War,1787-1792,,Turkey
Turkey,Cypriot War,1963-1964,,Turkey
Turkey,Syrian War,1957-1957,,Turkey
Turkey,Egyptian Turkish War,1786-1786,,Turkey
Turkey,Kurdish Revolt,1925-1932,,Turkey
Turkey,Greco-Turkish War,1919-1922,,Turkey
Turkey,World War I,1914-1918,,Turkey
Turkey,Balkan War II,1913-1913,,Turkey
Turkey,Balkan War I,1912-1913,,Turkey
Turkey,Italo-Turkish War,1911-1912,,Turkey
Turkey,Turkish Revolt,1909-1913,,Turkey
Turkey,Armenian Terror,1915-1922,,Turkey
Turkey,Greco-Turkish War,1897-1897,,Turkey
Turkomen,Kashgari War,1825-1831,,Turkomen
Turkomen,Syr Darya War,1850-1854,,Turkomen
Turkomen,Sino-Turkomen War,1847-1847,,Turkomen
Tutsi,Burundi Terror,1970-1972,,Tutsi
Tutsi,Rwanda Civil War,1959-1961,,Tutsi
Uganda,Uganda Mutiny,1897-1901,,Uganda
Uganda,Uganda Terror,1971-1987,,Uganda
Uganda,Religious Wars,1885-1889,,Uganda
Uganda,Ugandan Rebellion,1979-1987,,Uganda
Upper Nile,Upper Nile War,1874-1879,,Upper Nile
Uruguay,Tupamaros Terror,1967-1973,,Uruguay
Uruguay,Lopez War,1864-1870,,Uruguay
Uruguay,Rosas War,1843-1852,,Uruguay
US,US Intervention,1912-1919,,US
USA,Maumee War,1790-1794,,USA
USA,Tecumseh War,1811-1811,,USA
USA,Seminole War,1818-1818,,USA
USA,Tripoli War,1801-1805,,USA
USA,Algerian War,1815-1824,,USA
USA,Korean War,1950-1953,,USA
USA,Philippine Rebellion,1896-1905,,USA
USA,El Salvador Civil War,1979-1987,,USA
USA,Vietnam War,1956-1975,,USA
USA,War of 1812,1812-1814,,USA
USA,Lebanese Revolution,1958-1958,,USA
USA,Franco-Mexican War,1862-1867,,USA
USA,World War II,1939-1945,,USA
USA,Black Hawk War,1832-1832,,USA
USA,US Civil War,1861-1865,,USA
USA,Panamarian Revolution,1903-1903,,USA
USA,Boxer Rebellion,1900-1901,,USA
USA,Indian Wars,1850-1891,,USA
USA,Spanish-American War,1898-1898,,USA
USA,World War I,1914-1918,,USA
USA,West Indies,1798-1800,,USA
USA,Mexican War,1846-1848,,USA
USA,Seminole War,1835-1843,,USA
Vietnam,Vietnam War,1851-1895,,Vietnam
Vietnam,Laotian Revolution,1953-1987,,Vietnam
Vietnam,Indochina War,1946-1954,,Vietnam
Vietnam,Vietnam War,1841-1845,,Vietnam
Vietnam,Sino-Vietnamese War,1979-1987,,Vietnam
Vietnam,Cambodian War,1978-1987,,Vietnam
Vietnam,French Intervention,1824-1847,,Vietnam
Vietnam,Cambodian Rebellion,1812-1812,,Vietnam
Wahehe,Wahehe War,1891-1893,,Wahehe
Warlords,Lebanese Civil War,1975-1987,,Warlords
West Irian,West Irian War,1969-1987,,West Irian
White Lotus,White Lotus War,1796-1804,,White Lotus
Workers,Polish Revolt,1980-1987,,Workers
Xhosa,Boer War,1799-1801,,Xhosa
Xhosa,Xhosa War,1811-1819,,Xhosa
Yemen,Yemen War,1961-1970,,Yemen
Yugoslavia,Trieste Incident,1947-1953,,Yugoslavia
Yugoslavia,World War II,1939-1945,,Yugoslavia
Yugoslavia,World War I,1914-1918,,Yugoslavia
Zaire,Chad War,1965-1987,,Zaire
Zaire,Zaire Rebellion,1978-1987,,Zaire
Zaire,Congo War,1949-1967,,Zaire
Zanzibar,Zanzibar Rebellion,1896-1896,,Zanzibar
Zimbabwe,Zimbabwe Rebellion,1980-1987,,Zimbabwe
Zobeir,Bornu Rebellion,1893-1893,,Zobeir
Zulu,Zulu Wars,1818-1828,,Zulu
Zulu,Zulu-Boer War,1838-1840,,Zulu
Zulu,Zulu Civil War,1856-1856,,Zulu
Zulu,Zulu War,1878-1879,,Zulu
Zulu,Zulu Civil War,1883-1884,,Zulu
Zulu,Zulu Rebellion,1887-1887,,Zulu
Zulu,Zulu Expansion,1807-1828,,Zulu
