year,country,trust,trust_first,trust_first_not_very_much,trust_first_not_at_all,take_advantage,confidence_government
1998,Lithuania,21.30823,,,,,33.20119
1998,Mexico,26.42384,,,,,41.45695
1998,Moldova,21.84959,,,,,42.68293
1998,Montenegro,30.41667,,,,,44.58333
1998,New Zealand,48.3871,,,,,15.64103
1998,Nigeria,17.25067,,,,,26.67023
1998,Norway,64.77374,,,,,65.66105
1998,Pakistan,18.69031,,,,,
1998,Peru,4.872006,,,,,36.99422
1998,Philippines,5.5,,,,,57.33333
1998,Poland,16.9124,,,,,36.25325
1998,Puerto Rico,5.989583,,,,,51.80413
1998,Romania,17.91768,,,,,20.09685
1998,Russia,23.23529,,,,,24.95098
1998,Serbia,28.4375,,,,,32.89063
1998,Slovakia,25.75342,,,,,41.55251
1998,Slovenia,15.29295,,,,,39.42403
1998,South Africa,15.36627,,,,,57.53238
1998,Spain,28.65401,,,,,30.0578
1998,Sweden,56.59068,,,,,41.32805
1998,Switzerland,34.48845,,,,,51.9802
1998,Turkey,5.453592,,,,,46.12938
1998,Ukraine,28.77979,,,,,40.51939
1998,North Macedonia,7.537688,,,,,18.89447
1998,United Kingdom,29.09424,,,,,
1998,United States,35.21401,,,,,29.76654
1998,Uruguay,21.1,,,,,40.6
1998,Venezuela,13.33333,,,,,26.33333
2004,Albania,23.2,,,,49.3,57.3
2004,Algeria,10.76443,,,,49.14196,50.93604
2004,Argentina,15.46875,,,,52.73438,18.20313
2004,Bangladesh,23.26667,,,,55.47396,86.46667
2004,Bosnia Herzegovina,15.58333,,,,66.08334,29.33333
2004,Canada,36.69439,,,,32.46888,40.19709
2004,Chile,22.41667,,,,67.41667,56.5
2004,China,54.46058,,,,20.36199,96.74796
2004,India,38.86114,,,,54.92254,48.6
2004,Indonesia,45.7,,,,27.5,50.6
2004,Iran,55.42807,,,,25.55457,60.95399
2004,Iraq,46.42393,,,,39.5897,36.92241
2004,Israel,23.02521,,,,,
2004,Japan,39.64758,,,,57.63583,25.40382
2004,Jordan,27.40066,,,,59.93322,81.5271
2004,South Korea,27.33333,,,,54.33334,28.91667
2004,Kyrgyzstan,16.58677,,,,53.30777,34.89933
2004,Mexico,21.30293,,,,62.60587,35.83062
2004,Moldova,14.0873,,,,74.30556,35.9127
2004,Montenegro,32.92453,,,,47.92453,31.79245
2004,Morocco,21.74261,,,,62.7498,53.63709
2004,Nigeria,25.32146,,,,68.79327,46.43917
2004,Pakistan,28.15,,,,57.35,33.3
2004,Peru,10.59294,,,,68.95403,19.18721
2004,Philippines,8.5,,,,27.5,50.08333
2004,Puerto Rico,22.39221,,,,58.1363,43.83754
2004,Saudi Arabia,50.53262,,,,47.00399,
2004,Serbia,18.33333,,,,45.66667,28.25
2004,Singapore,14.55026,,,,52.31481,
2004,Vietnam,38.7,,,,23.3,96.9
2004,South Africa,12.9,,,,62.46667,48.83334
2004,Zimbabwe,10.97804,,,,63.47305,47.50499
2004,Spain,32.75434,,,,44.00331,43.42432
2004,Sweden,63.64532,,,,12.0197,
2004,Turkey,19.15777,,,,79.10448,44.71281
2004,Uganda,7.784431,,,,67.66467,75.5489
2004,North Macedonia,13.27014,,,,63.60189,10.80569
2004,Egypt,37.46667,,,,49.66667,53.33334
2004,Tanzania,7.8125,,,,46.88323,82.51561
2004,United States,35.91666,,,,37.41667,38
2004,Venezuela,15.83333,,,,63.25,55.66667
2009,Andorra,20.66199,26.77323,35.66433,37.46254,,32.66733
2009,Argentina,16.63327,29.36428,44.09687,24.11705,,35.8224
2009,Australia,48.18247,50.10707,38.18701,11.70592,,40.11461
2009,Brazil,9.201624,16.70007,29.45892,53.84101,,46.27267
2009,Bulgaria,19.43888,19.08092,54.44555,22.97702,,33.46653
2009,Canada,41.11111,50.39407,35.00232,12.74919,,36.05568
2009,Chile,12.29839,11.89516,38.30645,44.55645,,47.58551
2009,China,49.08815,10.53959,62.98538,20.52446,,86.95871
2009,Taiwan ROC,24.20538,19.65742,66.31321,13.86623,,33.46939
2009,Colombia,14.31405,13.58448,42.23744,44.02588,,50.38017
2009,Cyprus,12.82546,13.9313,36.16412,49.90458,,57.76931
2009,Ethiopia,22.52632,26.47658,49.28717,21.38493,,25.93931
2009,Finland,57.98817,51.97239,39.05326,8.284023,,64.15842
2009,France,18.65597,45,34.8,19.8,,28.88666
2009,Georgia,17.65886,13.42685,64.32866,14.96326,,30.88334
2009,Germany,31.84055,24.26471,50.88235,22.10784,,23.38042
2009,Ghana,8.480104,22.93578,38.7287,38.00787,,71.24097
2009,Guatemala,15.6,,,,,36.1
2009,Hong Kong SAR,40.33546,,,,,56.62551
2009,Hungary,28.12813,32.17478,49.45382,17.47766,,16.36727
2009,India,20.68966,24.55,39.9,28.8,,45.39372
2009,Indonesia,41.09962,19.29036,58.62069,20.88955,,54.53172
2009,Iran,10.53618,,,,,48.43809
2009,Iraq,39.13696,,,,,58.13688
2009,Italy,28.25203,19.0239,53.58566,25.79681,,26.12613
2009,Japan,36.58759,,,,,31.03113
2009,Jordan,31.31822,24.38611,43.60711,32.00677,,87.08552
2009,South Korea,30.15203,13.42786,58.9658,27.60634,,45.94142
2009,Malaysia,8.825978,14.40466,47.7935,37.80183,,75.43713
2009,Mali,17.15576,36.47925,40.02678,21.82062,,68.76295
2009,Mexico,15.49839,15.65722,34.98711,48.96907,,44.30789
2009,Moldova,17.59082,13.57553,41.8738,43.59465,,32.43762
2009,Morocco,12.99915,20.88662,45.78005,33.33334,,54.6875
2009,Netherlands,43.00971,19.42029,58.84058,17.19807,,26.41148
2009,New Zealand,51.16022,,,,,38.7027
2009,Norway,73.73047,66.14328,27.47792,5.78999,,53.92157
2009,Peru,6.418919,8.926175,30.80537,60.26846,,11.61996
2009,Poland,18.63727,23,58.1,18.3,,16.91692
2009,Romania,19.66648,12.18679,46.35535,36.56036,,25.59591
2009,Russia,25.24801,13.56436,43.9604,37.42574,,42.98419
2009,Rwanda,4.856953,34.57447,47.20745,17.61968,,
2009,Serbia,13.75311,20.64677,56.55058,20.23217,,25.06224
2009,Vietnam,51.00536,21.27946,62.89563,12.18855,,95.84728
2009,Slovenia,17.58989,9.311348,50.14549,38.31232,,23.19688
2009,South Africa,,28.74833,40.46185,29.21687,,65.89692
2009,Spain,19.73244,30.15075,44.63987,22.11055,,44.3792
2009,Sweden,65.83763,68.94094,25.15275,5.906314,,46.55738
2009,Switzerland,49.42904,48.7055,40.21036,9.951457,,67.80766
2009,Thailand,41.5082,17.44262,50.81967,31.73771,,38.57702
2009,Trinidad and Tobago,3.796204,20.90452,41.00502,37.18593,,26.98094
2009,Turkey,4.769001,14.27509,45.87361,37.69517,,60.90841
2009,Ukraine,27.36156,17.80684,43.05835,30.38229,,25.44503
2009,Egypt,18.39948,26.92686,52.8042,20.20335,,
2009,United Kingdom,29.96146,45.13618,34.63035,14.49416,,33.36576
2009,United States,39.56487,43.59606,42.85714,13.5468,,38.57616
2009,Burkina Faso,14.35342,27.96554,39.62889,30.21869,,45.66712
2009,Uruguay,28.43931,35.55556,35.35353,29.09091,,61.37513
2009,Zambia,11.04294,16.05691,40.2439,42.27642,,41.79714
2014,Algeria,17.92863,15.65744,32.26643,52.07613,,38.76191
2014,Azerbaijan,16.16766,10.27944,15.16966,71.25748,,81.33733
2014,Argentina,22.64706,27.8481,46.34859,24.63486,,32.45098
2014,Australia,54.43383,48.84535,39.3282,11.82645,,31.76796
2014,Armenia,10.01821,16.90909,42.18182,39.27273,,39.54546
2014,Brazil,6.527591,17.76581,24.96635,56.4603,,41.23989
2014,Belarus,32.80737,22.14984,47.557,29.70684,,55.76547
2014,Chile,12.64016,23.14629,44.38878,26.1523,,33.80281
2014,China,62.69384,11.99063,61.54567,20.84309,,89.08418
2014,Taiwan ROC,29.63563,27.80922,58.85206,10.99434,,45.34413
2014,Colombia,4.12783,11.72185,33.84106,53.97351,,39.32361
2014,Cyprus,9.027081,11.8,42.5,42.9,,46.1
2014,Ecuador,7.160699,17.65196,34.22148,48.12656,,50.45795
2014,Estonia,38.51175,22.14239,50.62051,25.14697,,52.64533
2014,Georgia,8.818635,16.22296,59.81697,22.71214,,32.6087
2014,Palestine,15.8,14.6,44.1,39.2,,37.1
2014,Germany,42.03041,29.8237,49.51028,19.09892,,42.94118
2014,Ghana,4.96134,16.68814,45.29639,38.01546,,58.69845
2014,Haiti,21.36409,34.27399,33.86352,31.65726,,5.130836
2014,Hong Kong SAR,48.33837,22.7683,59.47844,17.75326,,59.69849
2014,India,16.67484,25.77244,41.1231,30.25993,,45.7332
2014,Iraq,30,16.33333,51.25,31.25,,38.16666
2014,Japan,35.93942,8.882522,49.97953,22.67704,,24.31437
2014,Kazakhstan,38.8,18.73333,45.26667,36,,75.06667
2014,Jordan,13.25,22.08333,42.83334,34.75,,54.16667
2014,South Korea,29.67309,19.01173,53.43383,27.55444,,49.87469
2014,Kuwait,29.15361,31.5748,36.37795,30.94488,,61.97957
2014,Kyrgyzstan,37.72538,16.7445,42.62842,40.56038,,57.78223
2014,Lebanon,9.833334,28.5,35,34.08333,,22.75
2014,Libya,11.00614,20.68803,35.72102,41.56456,,25.04744
2014,Malaysia,8.538462,7.384615,51.07692,41.53846,,75.13472
2014,Mexico,12.4062,12.3,29.65,57.95,,38.7
2014,Morocco,12.44743,13.9866,46.64991,38.35846,,45.70447
2014,Netherlands,66.1757,22.463,57.55814,12.15645,,33.13953
2014,New Zealand,56.22733,,,,22.53012,46.59232
2014,Nigeria,14.78113,20.40932,45.08243,34.50824,,36.27061
2014,Pakistan,23.54949,25.02092,43.34728,29.2887,,35.80455
2014,Peru,8.215768,5.320034,22.61014,70.73981,,22.22222
2014,Philippines,2.833333,18.59883,51.37614,30.02502,,56.59432
2014,Poland,22.25673,24.58506,53.42324,16.70124,,17.01245
2014,Qatar,21.41509,33.05005,39.94334,27.00661,,83.57075
2014,Romania,7.071381,7.61523,45.02338,44.95658,,18.75419
2014,Russia,27.73516,20.60946,43.10345,32.31756,,47.25806
2014,Rwanda,16.63392,41.08781,43.90564,15.00655,,63.52325
2014,Singapore,38.51626,31.89655,45.99392,22.10953,,79.05679
2014,Slovenia,19.98124,9.474671,56.75422,33.48968,,7.815442
2014,South Africa,23.50609,38.79921,33.72982,24.15746,,46.47409
2014,Zimbabwe,7.2,11.33333,40.2,48.46667,,46.86667
2014,Spain,19.01944,32.17318,51.69779,12.73345,,20.86514
2014,Sweden,63.75839,58.74477,29.20502,10.29289,,63.03081
2014,Thailand,32.57384,14.42953,52.93624,32.63423,,51.55071
2014,Trinidad and Tobago,3.203203,18.21822,35.43544,43.14314,,34.93494
2014,Tunisia,15.51867,16.92946,31.61826,50.12449,,17.84232
2014,Turkey,12.00762,21.64366,46.8005,31.24216,,56.90955
2014,Ukraine,23.71274,27.6,52.13334,20.26667,,24.86667
2014,Egypt,20.55154,31.05713,45.8306,23.11228,,44.27631
2014,United States,38.17277,38.73016,46.89342,14.37642,,32.23594
2014,Uruguay,14.43515,26.73367,30.55276,39.8995,,59.35614
2014,Uzbekistan,13.92236,14.17961,39.3653,46.4551,,97.14286
2014,Yemen,38.5,24.3,44.3,29.7,,27.5
2022,Andorra,25.57442,29.32933,45.14515,25.52553,,49.09639
2022,Argentina,19.799,30.86913,44.75525,22.07792,,30.86913
2022,Australia,54.01786,55.02232,36.88616,8.091517,,31.29176
2022,Bangladesh,12.91667,20.63492,43.94319,35.33834,,81.64292
2022,Armenia,8.101473,25.61375,32.56956,41.24386,,35.06173
2022,Bolivia,8.535402,10.50339,28.31559,61.03582,,23.38671
2022,Brazil,6.545248,22.79704,30.47186,45.02559,,22.57697
2022,Myanmar,15.08333,41.33333,34.58333,24.08333,,80.16666
2022,Canada,49.50224,50.8213,40.74166,8.437033,,48.28273
2022,Chile,13.94183,23.42342,47.34735,28.62863,,37.17435
2022,China,65.43703,13.40172,67.47187,19.12641,,95.37801
2022,Taiwan ROC,30.98937,28.20932,62.7964,8.994276,,50.85854
2022,Colombia,4.539474,14.34211,39.27632,46.38158,,11.9079
2022,Cyprus,7.962771,13.83838,44.9495,40,,38.2892
2022,Czechia,37,38.66666,45.08333,15.83333,,33.38898
2022,Ecuador,5.774058,7.756464,30.85905,61.21768,,31.91312
2022,Ethiopia,11.86992,47.84378,31.40765,20.50447,,65.55375
2022,Germany,45.00991,34.32343,47.65676,15.70957,,44.43713
2022,Greece,8.347245,10.10861,50.45948,38.84712,,13.2107
2022,Guatemala,17.9821,18.69313,44.08602,37.22084,,9.1131
2022,Hong Kong SAR,39.34426,23.16602,63.75483,12.64479,,52.2453
2022,Indonesia,5.189122,9.1875,38.5,52.25,,78.96875
2022,Iran,14.80987,33.97864,28.70494,37.18291,,51.87416
2022,Iraq,11.02757,24.06015,35.33834,38.68003,,19.31438
2022,Japan,34.05527,10.65266,49.73743,21.68042,,40.07435
2022,Kazakhstan,23.31731,19.84314,40.78431,38.03922,,69.06078
2022,Jordan,15.87697,29.75894,40.89776,29.01081,,36.1596
2022,Kenya,9.523809,25.07911,35.75949,38.13291,,45
2022,South Korea,32.93173,17.51004,60.08032,22.40964,,51.3253
2022,Kyrgyzstan,11.80904,16.38796,53.01003,29.51505,,52.7288
2022,Lebanon,9.916667,22.58333,41.5,35.75,,19.94971
2022,Libya,9.167367,24.89522,38.7259,35.87594,,28.47571
2022,Macau SAR,43.80165,30.5501,61.00196,8.447937,,68.70078
2022,Malaysia,19.5735,14.92765,55.67403,29.39832,,50.11424
2022,Maldives,21.2828,15.08704,34.71954,49.90329,,29.66184
2022,Mexico,10.28145,13.09592,30.55715,56.28949,,17.46123
2022,Mongolia,27.41148,30.64713,43.16239,26.19048,,36.93529
2022,Morocco,16.5,28.08333,43.08334,28.83333,,21
2022,Netherlands,57.69791,62.65701,23.38164,5.942029,,29.25301
2022,New Zealand,58.51272,51.35922,31.74757,8.15534,,51.60976
2022,Nicaragua,4.25,10.83333,31.08333,58.08333,,27.5
2022,Nigeria,12.62136,25.94988,38.48019,35.40825,,40.40486
2022,Pakistan,23.31996,34.25276,24.92477,39.66901,,62.48116
2022,Peru,5.289493,7.934239,31.87991,59.82845,,10.96774
2022,Philippines,5.3467,24.25,51.08333,24.66667,,80.25
2022,Puerto Rico,17.83154,25.60214,34.96878,39.42908,,15.09434
2022,Romania,11.73184,12.08,43.68,41.28,,20.09646
2022,Russia,23.3278,23.03867,44.64088,30.22099,,52.93142
2022,Serbia,16.44231,27.79923,45.17375,25.86872,,25.02444
2022,Singapore,33.98399,17.81437,62.37525,19.81038,,81.11609
2022,Slovakia,21.45242,29.60801,50.54211,19.18265,,21.75732
2022,Vietnam,27.66667,30.83333,50.33333,18.83333,,92.91666
2022,Zimbabwe,2.139918,25.92593,32.26337,41.48148,,51.77246
2022,Tajikistan,20.58333,10.33333,36.33334,53.33334,,89.25
2022,Thailand,31.36842,27.67677,45.79124,26.53199,,54.4624
2022,Tunisia,14.24915,30.67993,39.80099,29.35323,,11.96653
2022,Turkey,14.03072,25.14499,46.10605,28.50041,,69.20834
2022,Ukraine,29.8913,27.38557,41.58262,25.29092,,18.88112
2022,Egypt,7.333333,19.34946,49.79149,30.27523,,
2022,United Kingdom,46.04455,53.82545,34.64052,10.49596,,22.52114
2022,United States,39.73715,38.85449,44.00154,17.14396,,31.00775
2022,Uruguay,14.81481,24.26694,31.34479,43.17493,,52.1608
2022,Venezuela,14.20168,15.04202,42.85714,42.10084,,17.31092
2022,Northern Ireland,40.09009,50.89686,36.09866,11.88341,,17.26457
